,title,rating,ratingLevel,ratingDescription,release year,user rating score,user rating size,score_size,tsub,tpol,class
0,White Chicks,5,"crude and sexual humor, language and some drug content",80,2004,82,80,1.025,0.916666667,-0.1,Parential Guidance
1,Lucky Number Slevin,10,"strong violence, sexual content and adult language",100,2006,84.09421488,82,1.025539206,0.622222222,0.344444444,For Above 17
2,Grey's Anatomy,4,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,98,80,1.225,0.733333333,0.433333333,Parential Guidance
3,Prison Break,4,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2008,98,80,1.225,0.733333333,0.433333333,Parential Guidance
4,How I Met Your Mother,12,Parental guidance suggested. May not be suitable for all children.,70,2014,94,80,1.175,0.75,0.55,For Above 17
5,Supernatural,4,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95,80,1.1875,0.733333333,0.433333333,Parential Guidance
6,Breaking Bad,9,For mature audiences.  May not be suitable for children 17 and under.,110,2013,97,80,1.2125,0.425,0.325,For Above 17
7,The Vampire Diaries,4,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2017,91,80,1.1375,0.733333333,0.433333333,Parential Guidance
8,The Walking Dead,9,For mature audiences.  May not be suitable for children 17 and under.,110,2015,98,80,1.225,0.425,0.325,For Above 17
9,Pretty Little Liars,4,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,96,80,1.2,0.733333333,0.433333333,Parential Guidance
10,Once Upon a Time,12,Parental guidance suggested. May not be suitable for all children.,70,2016,98,80,1.225,0.75,0.55,For Above 17
11,Sherlock,4,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95,80,1.1875,0.733333333,0.433333333,Parential Guidance
12,Death Note,4,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2006,77,80,0.9625,0.733333333,0.433333333,Parential Guidance
13,Naruto,12,Parental guidance suggested. May not be suitable for all children.,70,2008,88,80,1.1,0.75,0.55,For Above 17
14,The Hunter,10,language and brief violence,100,2011,84.09421488,82,1.025539206,0.333333333,0,For Above 17
15,Lottie Dottie Chicken,2,Suitable for all ages.,10,2009,84.09421488,82,1.025539206,0.75,0.55,For All
16,Arrow,4,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,96,80,1.2,0.733333333,0.433333333,Parential Guidance
17,Black Mirror,9,For mature audiences.  May not be suitable for children 17 and under.,110,2016,80,80,1,0.425,0.325,For Above 17
18,The Originals,4,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,74,80,0.925,0.733333333,0.433333333,Parential Guidance
19,The 100,0,This movie has not been rated.,124,2016,97,80,1.2125,0,0,For All
20,Masha and the Bear,2,Suitable for all ages.,10,2013,81,80,1.0125,0.75,0.55,For All
21,"Ó Pai, Ó - Look at This",9,For mature audiences.  May not be suitable for children 17 and under.,110,2007,84.09421488,82,1.025539206,0.425,0.325,For Above 17
22,Nymphomaniac: Volume 1,0,This movie has not been rated.,124,2013,84.09421488,82,1.025539206,0,0,For All
23,Hunter X Hunter (2011),0,This movie has not been rated.,124,2013,57,80,0.7125,0,0,For All
24,Marvel's Luke Cage,9,For mature audiences.  May not be suitable for children 17 and under.,110,2016,95,80,1.1875,0.425,0.325,For Above 17
